"","1.5","2.0","2.5","3.0","3.5","4.0"
"gfdl_rcp2p6",NA,NA,NA,NA,NA,NA
"gfdl_rcp4p5",2044,NA,NA,NA,NA,NA
"gfdl_rcp6p0",2052,2073,NA,NA,NA,NA
"gfdl_rcp8p5",2034,2051,2066,2080,NA,NA
"hadgem_rcp2p6",2028,NA,NA,NA,NA,NA
"hadgem_rcp4p5",2029,2044,2063,NA,NA,NA
"hadgem_rcp6p0",2034,2048,2062,2076,NA,NA
"hadgem_rcp8p5",2024,2036,2046,2055,2063,2071
"ipsl_rcp2p6",2011,2033,NA,NA,NA,NA
"ipsl_rcp4p5",2012,2031,2047,2073,NA,NA
"ipsl_rcp6p0",2012,2032,2051,2071,NA,NA
"ipsl_rcp8p5",2011,2026,2037,2047,2056,2065
"miroc_rcp2p6",2018,2035,NA,NA,NA,NA
"miroc_rcp4p5",2021,2035,2050,2070,NA,NA
"miroc_rcp6p0",2023,2039,2053,2067,2082,NA
"miroc_rcp8p5",2018,2030,2040,2050,2058,2066
"noresm_rcp2p6",NA,NA,NA,NA,NA,NA
"noresm_rcp4p5",NA,NA,NA,NA,NA,NA
"noresm_rcp6p0",2050,2072,NA,NA,NA,NA
"noresm_rcp8p5",2033,2048,2061,2073,2085,NA
