"","1.5","2.0","3.2","4.5"
"gfdl_rcp2p6",NA,NA,NA,NA
"gfdl_rcp4p5",2044,NA,NA,NA
"gfdl_rcp6p0",2052,2073,NA,NA
"gfdl_rcp8p5",2034,2051,NA,NA
"hadgem_rcp2p6",2028,NA,NA,NA
"hadgem_rcp4p5",2029,2044,NA,NA
"hadgem_rcp6p0",2034,2048,2082,NA
"hadgem_rcp8p5",2024,2036,2058,2080
"ipsl_rcp2p6",2011,2033,NA,NA
"ipsl_rcp4p5",2012,2031,NA,NA
"ipsl_rcp6p0",2012,2032,2078,NA
"ipsl_rcp8p5",2011,2026,2051,2074
"miroc_rcp2p6",2018,2035,NA,NA
"miroc_rcp4p5",2021,2035,NA,NA
"miroc_rcp6p0",2023,2039,2073,NA
"miroc_rcp8p5",2018,2030,2053,2074
"noresm_rcp2p6",NA,NA,NA,NA
"noresm_rcp4p5",NA,NA,NA,NA
"noresm_rcp6p0",2050,2072,NA,NA
"noresm_rcp8p5",2033,2048,2078,NA
